zip,lat,lon
2108,42.357,-71.0636
2109,42.3612,-71.0537
2110,42.3575,-71.0506
2111,42.3503,-71.0618
2113,42.3653,-71.0546
2114,42.3615,-71.0668
2115,42.3429,-71.0921
2116,42.3492,-71.0766
2118,42.3389,-71.0716
2119,42.3246,-71.0853
2120,42.3334,-71.0969
2121,42.3097,-71.0833
2122,42.2967,-71.0526
2124,42.285,-71.0713
2125,42.3155,-71.0546
2126,42.2737,-71.0937
2127,42.3345,-71.0365
2128,42.3751,-71.0328
2129,42.3782,-71.0622
2130,42.309,-71.1116
2131,42.2847,-71.1281
2132,42.2802,-71.1626
2134,42.3554,-71.1324
2135,42.3506,-71.1627
2136,42.2536,-71.1312
2199,42.3476,-71.0826
2203,42.361,-71.0602
2210,42.3473,-71.04
2215,42.3431,-71.1025
